Property + Unit +Room	Property	Unit	Room
1018 West 21st Street, Los Angeles, CA, USA RMWhole Unit	1018 West 21st Street, Los Angeles, CA, USA		Whole Unit
1128 West 37th Drive, Los Angeles, CA, USA RM3	1128 West 37th Drive, Los Angeles, CA, USA		3
1128 West 37th Drive, Los Angeles, CA, USA RM2	1128 West 37th Drive, Los Angeles, CA, USA		2
1223 1/4 West 36th Street, Los Angeles, CA, USA RM1	1223 1/4 West 36th Street, Los Angeles, CA, USA		1
1223 1/4 West 36th Street, Los Angeles, CA, USA RM3	1223 1/4 West 36th Street, Los Angeles, CA, USA		3
1223 1/4 West 36th Street, Los Angeles, CA, USA RM4	1223 1/4 West 36th Street, Los Angeles, CA, USA		4
1223 1/4 West 36th Street, Los Angeles, CA, USA RM2	1223 1/4 West 36th Street, Los Angeles, CA, USA		2
1329 1/4 West 36th Street, Los Angeles, CA, USA RM102	1329 1/4 West 36th Street, Los Angeles, CA, USA		102
1329 1/4 West 36th Street, Los Angeles, CA, USA RM103	1329 1/4 West 36th Street, Los Angeles, CA, USA		103
1329 1/4 West 36th Street, Los Angeles, CA, USA RM101	1329 1/4 West 36th Street, Los Angeles, CA, USA		101
1329 1/4 West 36th Street, Los Angeles, CA, USA RM104	1329 1/4 West 36th Street, Los Angeles, CA, USA		104
1329 West 36th Street, Los Angeles, CA, USA RM304	1329 West 36th Street, Los Angeles, CA, USA		304
1329 West 36th Street, Los Angeles, CA, USA RM403	1329 West 36th Street, Los Angeles, CA, USA		403
1329 West 36th Street, Los Angeles, CA, USA RM401	1329 West 36th Street, Los Angeles, CA, USA		401
1329 West 36th Street, Los Angeles, CA, USA RM201	1329 West 36th Street, Los Angeles, CA, USA		201
1329 West 37th Place, Los Angeles, CA, USA RM4	1329 West 37th Place, Los Angeles, CA, USA		4
1329 West 37th Place, Los Angeles, CA, USA RM5	1329 West 37th Place, Los Angeles, CA, USA		5
1329 West 37th Place, Los Angeles, CA, USA RM1	1329 West 37th Place, Los Angeles, CA, USA		1
1329 West 37th Place, Los Angeles, CA, USA RM2	1329 West 37th Place, Los Angeles, CA, USA		2
1329 West 37th Place, Los Angeles, CA, USA RM6	1329 West 37th Place, Los Angeles, CA, USA		6
1331 1/2 West 36th Street, Los Angeles, CA, USA RM402	1331 1/2 West 36th Street, Los Angeles, CA, USA		402
1331 1/4 West 36th Street, Los Angeles, CA, USA RMWhole Unit	1331 1/4 West 36th Street, Los Angeles, CA, USA		Whole Unit
1331 West 36th Street, Los Angeles, CA, USA RM304	1331 West 36th Street, Los Angeles, CA, USA		304
1331 West 36th Street, Los Angeles, CA, USA RM301	1331 West 36th Street, Los Angeles, CA, USA		301
1331 West 36th Street, Los Angeles, CA, USA RM201	1331 West 36th Street, Los Angeles, CA, USA		201
1331 West 36th Street, Los Angeles, CA, USA RM404	1331 West 36th Street, Los Angeles, CA, USA		404
1331 West 36th Street, Los Angeles, CA, USA RM401	1331 West 36th Street, Los Angeles, CA, USA		401
1331 West 37th Place, Los Angeles, CA, USA RM4	1331 West 37th Place, Los Angeles, CA, USA		4
1331 West 37th Place, Los Angeles, CA, USA RM2	1331 West 37th Place, Los Angeles, CA, USA		2
1331 West 37th Place, Los Angeles, CA, USA RM3	1331 West 37th Place, Los Angeles, CA, USA		3
1331 West 37th Place, Los Angeles, CA, USA RM5	1331 West 37th Place, Los Angeles, CA, USA		5
1331 West 37th Place, Los Angeles, CA, USA RM1	1331 West 37th Place, Los Angeles, CA, USA		1
1351 West 37th Street, Los Angeles, CA, USA RM1	1351 West 37th Street, Los Angeles, CA, USA		1
1351 West 37th Street, Los Angeles, CA, USA RM4	1351 West 37th Street, Los Angeles, CA, USA		4
1351 West 37th Street, Los Angeles, CA, USA RM3	1351 West 37th Street, Los Angeles, CA, USA		3
1351 West 37th Street, Los Angeles, CA, USA RM6	1351 West 37th Street, Los Angeles, CA, USA		6
1351 West 37th Street, Los Angeles, CA, USA RM5	1351 West 37th Street, Los Angeles, CA, USA		5
1362 1/2 West 35th Street, Los Angeles, CA, USA RM403	1362 1/2 West 35th Street, Los Angeles, CA, USA		403
1362 1/2 West 35th Street, Los Angeles, CA, USA RM304	1362 1/2 West 35th Street, Los Angeles, CA, USA		304
1362 1/2 West 35th Street, Los Angeles, CA, USA RM102	1362 1/2 West 35th Street, Los Angeles, CA, USA		102
1362 1/2 West 35th Street, Los Angeles, CA, USA RM101	1362 1/2 West 35th Street, Los Angeles, CA, USA		101
1362 1/2 West 35th Street, Los Angeles, CA, USA RM202	1362 1/2 West 35th Street, Los Angeles, CA, USA		202
1362 1/2 West 35th Street, Los Angeles, CA, USA RM201	1362 1/2 West 35th Street, Los Angeles, CA, USA		201
1362 1/2 West 35th Street, Los Angeles, CA, USA RM402	1362 1/2 West 35th Street, Los Angeles, CA, USA		402
1362 1/2 West 35th Street, Los Angeles, CA, USA RM203	1362 1/2 West 35th Street, Los Angeles, CA, USA		203
1362 1/2 West 35th Street, Los Angeles, CA, USA RM302	1362 1/2 West 35th Street, Los Angeles, CA, USA		302
1362 1/2 West 35th Street, Los Angeles, CA, USA RM103	1362 1/2 West 35th Street, Los Angeles, CA, USA		103
1362 1/2 West 35th Street, Los Angeles, CA, USA RM301	1362 1/2 West 35th Street, Los Angeles, CA, USA		301
1362 1/2 West 35th Street, Los Angeles, CA, USA RM204	1362 1/2 West 35th Street, Los Angeles, CA, USA		204
1362 1/2 West 35th Street, Los Angeles, CA, USA RM303	1362 1/2 West 35th Street, Los Angeles, CA, USA		303
1362 1/2 West 35th Street, Los Angeles, CA, USA RM404	1362 1/2 West 35th Street, Los Angeles, CA, USA		404
1362 1/2 West 35th Street, Los Angeles, CA, USA RM401	1362 1/2 West 35th Street, Los Angeles, CA, USA		401
1362 West 35th Street, Los Angeles, CA, USA RM203	1362 West 35th Street, Los Angeles, CA, USA		203
1362 West 35th Street, Los Angeles, CA, USA RM301	1362 West 35th Street, Los Angeles, CA, USA		301
1362 West 35th Street, Los Angeles, CA, USA RM302	1362 West 35th Street, Los Angeles, CA, USA		302
